age,sex
70,1
22,1
1,1
3,2
7,2
7,2
23,2
15,2
17,2
49,2
18,1
40,1
40,1
23,1
0,2
12,2
15,2
19,2
30,2
42,1
15,2
4,2
20,1
0,2
5,2
15,1
39,2
5,2
70,2
23,1
31,2
5,2
55,2
9,1
45,2
30,2
3,1
44,1
31,2
67,2
30,2
8,1
4,2
19,1
5,1
13,1
17,1
13,2
32,1
16,2
8,1
2,2
2,2
5,1
30,2
21,1
50,1
56,1
7,1
11,2
16,2
9,2
21,1
13,2
5,2
33,1
70,2
25,2
44,1
11,1
21,2
20,2
9,1
3,2
15,1
2,2
2,1
0,2
15,2
20,2
12,1
42,1
41,2
1,1
3,1
48,1
51,2
18,2
19,1
8,1
20,1
7,2
58,2
50,2
14,2
85,2
9,1
15,2
5,1
4,1
12,1
0,2
63,1
56,2
28,2
15,2
23,1
5,2
25,1
10,2
19,1
16,2
11,1
37,2
2,1
13,1
38,1
16,1
75,2
10,2
30,1
30,2
2,1
3,1
32,1
5,2
35,2
15,1
10,1
36,2
10,2
3,1
2,2
20,1
16,2
1,1
5,2
26,2
10,1
12,2
20,2
87,2
4,2
1,1
64,2
20,1
29,2
19,2
18,1
5,2
17,1
18,1
9,2
25,1
67,2
9,2
25,2
18,2
20,1
37,2
3,2
53,2
35,2
15,2
14,1
17,1
3,2
11,2
12,1
5,2
6,2
12,2
39,1
13,2
30,2
29,2
17,2
16,1
40,2
41,2
34,2
2,2
17,2
1,1
36,2
9,2
52,1
33,2
14,2
34,2
4,1
40,2
65,2
3,2
3,2
3,2
28,1
6,1
3,2
50,2
45,1
5,1
47,1
3,1
23,1
10,2
8,1
7,2
13,2
50,1
18,1
17,1
25,2
10,1
1,2
4,1
2,2
1,2
10,1
5,1
8,1
10,2
44,2
30,2
49,2
2,2
20,1
29,2
45,2
38,1
8,2
12,1
55,1
2,2
8,1
1,2
20,2
1,1
67,1
22,2
65,2
14,1
15,1
2,2
33,2
30,1
24,2
52,1
5,2
10,2
44,1
15,2
3,1
20,1
45,2
41,2
6,2
5,1
15,2
82,2
15,1
35,2
6,1
5,2
0,2
1,1
50,1
8,2
15,1
15,2
15,2
2,2
23,1
30,2
23,2
8,2
11,1
66,2
3,2
0,2
8,1
37,1
14,2
11,1
18,1
2,1
23,2
23,1
4,2
25,2
49,2
13,2
45,2
13,1
1,1
17,1
20,1
40,1
5,2
14,2
6,1
48,2
23,1
26,2
45,1
35,1
14,2
11,2
17,1
13,2
1,1
64,1
0,1
7,2
10,1
46,1
7,2
21,2
28,1
0,1
8,1
5,1
39,1
18,1
1,2
4,1
20,1
74,1
8,1
24,2
5,2
29,1
30,2
17,2
9,1
4,2
86,1
80,2
4,2
11,1
13,2
26,1
30,1
5,1
25,1
38,1
30,2
25,2
9,1
60,1
22,1
14,1
20,1
35,2
28,2
40,2
3,1
18,2
34,2
6,1
8,1
6,2
77,2
3,1
51,1
25,1
1,2
8,2
10,1
24,2
2,1
28,1
18,2
40,2
14,1
18,1
8,2
18,2
16,2
50,1
8,1
15,1
23,1
48,1
4,2
15,2
0,2
20,2
14,1
32,2
55,1
4,2
8,2
1,2
41,1
24,2
45,1
23,1
1,1
5,2
37,1
5,2
20,1
51,2
15,1
14,1
1,2
42,1
1,1
36,1
6,1
9,1
7,1
43,1
1,1
5,1
42,1
0,2
12,2
11,1
15,1
65,2
35,2
22,1
92,2
47,2
3,1
15,1
35,2
63,1
12,1
25,2
2,2
29,1
5,2
2,1
5,2
20,2
9,2
35,2
2,2
12,2
4,1
11,1
41,1
20,1
1,1
12,2
15,1
2,2
14,1
26,1
5,2
5,1
22,2
30,2
10,1
4,1
19,1
9,1
14,1
21,2
39,2
3,2
10,1
9,2
10,2
34,1
23,2
30,2
8,2
27,1
13,1
25,1
30,2
17,1
14,1
39,2
11,2
5,1
1,2
20,1
30,1
20,1
62,2
36,2
36,2
14,2
20,2
6,1
50,1
25,1
30,1
34,1
20,2
16,1
23,1
0,2
12,2
5,2
15,1
26,1
5,1
80,1
17,2
59,1
15,1
50,2
51,2
3,2
30,2
36,2
21,1
0,1
3,2
44,1
5,1
15,2
28,2
7,1
40,1
55,2
0,1
6,2
13,2
5,1
10,1
4,2
42,1
16,2
9,2
36,2
33,2
29,1
4,2
10,2
32,2
34,2
45,1
40,2
29,2
31,2
6,2
0,1
25,1
15,2
60,1
21,2
7,2
35,2
20,1
8,1
0,2
19,2
4,2
16,1
21,1
7,2
9,1
10,2
5,1
10,1
50,1
5,1
19,1
17,1
19,2
40,2
16,1
32,1
19,2
5,2
3,2
30,2
25,1
17,2
20,1
45,2
12,1
0,2
18,1
14,2
1,2
35,1
90,2
2,1
35,1
30,1
36,2
49,2
20,2
16,1
30,1
40,1
1,2
10,2
9,1
13,2
1,1
3,1
32,2
4,1
8,1
35,1
25,1
5,1
27,1
4,1
40,2
40,1
15,2
9,2
1,2
5,1
8,2
1,1
2,2
18,1
37,1
25,1
9,1
1,2
42,1
13,1
49,2
20,2
12,2
33,2
3,2
27,2
64,1
10,1
20,1
25,2
34,2
23,2
29,2
30,2
15,1
5,1
11,1
4,2
21,2
1,2
10,1
15,1
54,2
19,2
5,1
0,2
6,1
5,2
9,2
0,2
29,1
20,2
69,2
6,1
56,1
18,1
10,1
5,1
10,1
11,1
4,2
15,2
4,1
27,2
7,2
78,2
22,1
20,2
32,2
1,2
10,2
7,2
32,2
4,2
23,1
29,1
36,2
10,1
1,1
1,2
23,1
30,2
10,1
2,1
1,1
53,1
65,1
1,2
13,1
30,2
25,1
42,2
32,2
11,1
10,2
37,2
16,2
14,1
24,1
45,1
2,1
20,2
2,1
20,2
5,2
15,1
22,1
18,2
39,1
20,1
28,1
2,1
44,2
1,2
30,1
9,1
4,2
37,1
0,2
0,1
8,2
15,2
1,2
25,1
36,2
20,1
37,1
0,2
9,1
50,2
50,1
62,2
7,1
3,1
30,2
12,1
20,1
29,2
70,1
30,2
59,2
27,1
9,2
24,2
53,1
15,1
19,2
11,1
30,2
12,2
39,1
7,2
5,2
15,1
30,2
3,2
2,1
5,1
14,2
16,2
74,1
13,1
15,1
7,1
16,2
40,1
50,1
3,1
5,1
1,1
29,2
45,2
15,2
30,1
3,2
2,1
40,1
13,1
6,2
5,2
5,2
40,2
10,1
0,2
9,1
10,1
2,1
14,1
8,1
5,1
3,2
50,2
15,2
7,2
20,1
6,2
60,1
36,2
40,1
20,1
3,1
46,2
13,2
30,2
4,1
68,1
15,2
16,2
9,1
12,1
8,2
5,1
44,2
14,1
31,1
30,1
16,1
48,1
35,1
4,1
42,1
54,2
12,1
20,2
24,2
25,1
45,2
41,1
2,2
40,2
21,2
43,2
35,2
0,1
16,1
70,2
11,1
20,2
20,2
10,2
34,2
0,1
16,2
10,2
2,2
2,1
11,2
58,2
20,1
1,1
2,2
30,1
31,2
23,2
8,1
25,1
10,1
2,2
8,2
20,1
4,2
5,1
9,2
62,2
18,2
51,2
32,2
15,1
35,2
11,1
4,2
48,2
0,1
60,1
30,2
40,2
13,2
2,1
40,2
73,1
40,1
46,1
50,2
17,1
1,2
33,2
49,1
20,1
70,2
37,1
3,2
5,1
65,1
48,2
0,1
5,1
4,2
11,1
2,1
1,1
1,2
7,2
50,2
0,1
20,1
3,2
6,1
27,1
20,2
7,2
9,1
33,1
22,1
28,1
8,1
5,1
10,1
10,2
10,2
8,1
48,2
2,2
36,2
10,1
28,1
3,1
16,2
15,2
31,1
20,1
10,1
6,2
30,1
5,1
23,1
15,1
21,1
30,1
25,1
31,1
50,2
7,2
20,2
28,1
23,1
46,1
20,2
12,2
12,2
10,1
5,1
20,2
4,2
63,2
23,1
6,1
38,1
5,2
2,1
20,2
30,1
30,2
1,1
3,2
34,2
22,1
4,1
2,2
0,2
22,1
1,1
16,1
27,2
43,2
30,2
20,1
29,1
28,2
10,2
11,2
1,2
15,1
20,1
64,2
40,1
1,1
14,2
20,2
16,2
32,2
5,1
19,2
10,1
55,2
10,1
20,2
5,1
15,2
20,1
55,2
2,1
66,2
30,1
20,1
35,2
8,1
31,2
31,1
25,1
3,2
13,1
17,2
24,1
20,1
29,1
10,2
1,2
21,1
10,2
4,1
40,1
81,1
8,2
10,1
50,2
75,1
3,1
30,1
11,2
35,2
2,2
27,2
0,1
5,2
5,1
11,2
19,2
48,2
3,1
40,2
34,2
63,1
16,2
16,1
93,2
50,1
77,1
6,1
75,2
43,1
13,2
2,1
2,1
3,1
3,2
20,2
7,2
10,2
5,2
15,2
3,1
5,1
22,1
18,1
10,1
8,1
63,2
26,1
3,1
17,1
27,2
7,1
5,2
20,2
30,1
3,1
8,1
22,1
30,1
10,1
54,1
45,1
64,2
34,1
0,1
1,2
9,2
3,1
18,1
11,1
30,1
1,2
5,2
17,2
43,1
52,1
5,1
5,1
7,2
2,2
11,1
25,1
30,2
20,1
34,2
5,1
15,1
1,1
50,2
2,2
24,2
30,2
5,1
0,2
6,2
20,2
10,1
5,2
10,1
3,2
31,1
6,1
2,2
3,2
38,2
48,2
30,2
25,1
16,2
1,1
6,1
3,1
13,1
60,1
15,1
37,1
20,2
45,1
6,1
2,1
12,2
31,2
60,2
8,2
20,2
0,1
3,1
28,1
23,2
28,1
50,1
3,2
17,1
5,2
1,1
4,1
6,1
56,2
10,2
43,2
20,2
20,2
60,1
30,2
44,2
0,1
10,1
14,1
9,2
6,1
0,1
5,1
83,2
20,1
15,1
2,1
3,1
29,1
50,2
30,1
87,1
0,1
13,2
3,1
35,2
5,1
10,2
22,1
55,2
15,1
70,1
40,2
12,1
15,2
5,2
42,1
37,2
4,2
13,1
4,1
14,2
25,1
20,2
15,2
2,1
26,1
9,2
24,2
4,1
42,2
2,1
5,2
47,2
50,2
21,1
36,2
20,2
30,2
15,2
50,2
35,2
16,2
5,2
5,2
35,2
23,2
4,2
63,2
6,2
70,2
52,2
0,1
50,1
80,2
47,2
14,2
5,1
2,2
1,2
15,1
10,2
21,1
44,2
53,1
12,2
55,2
5,2
41,1
44,2
70,1
40,2
1,1
1,1
18,2
5,1
32,2
13,1
30,1
50,1
14,1
42,2
13,2
14,2
40,1
20,1
36,1
8,1
40,1
4,1
61,2
16,1
30,1
17,2
25,2
10,1
50,1
8,1
10,1
45,1
10,1
50,1
13,2
16,1
5,2
14,1
15,2
63,1
38,1
24,2
30,2
57,2
32,1
55,1
38,1
48,1
7,1
20,2
40,2
12,2
6,1
30,1
80,1
64,2
4,2
65,2
10,2
13,2
16,2
12,1
15,2
20,2
4,2
0,2
2,1
7,2
18,1
40,2
11,1
21,2
0,2
31,1
1,1
86,1
73,2
45,2
2,2
60,1
16,2
16,1
19,1
71,2
21,2
55,1
18,2
55,1
70,2
46,1
50,1
19,1
52,1
23,2
1,1
24,1
10,1
38,2
3,1
30,1
45,1
10,2
2,2
11,2
71,2
48,2
48,1
24,2
3,1
1,1
12,1
40,1
4,1
4,1
2,1
13,1
4,1
14,1
15,1
45,1
3,2
63,1
11,2
47,2
40,1
2,1
47,2
1,1
49,2
32,2
25,1
8,1
15,2
9,2
28,2
6,1
20,2
11,2
4,2
30,2
14,1
1,1
15,1
6,1
4,1
50,2
22,1
38,2
19,1
10,2
50,2
11,1
22,1
36,2
4,2
2,2
23,2
21,1
9,1
21,2
25,2
14,2
8,1
13,1
3,1
6,1
49,1
8,2
49,2
27,2
27,2
5,2
42,1
15,2
23,2
20,2
45,1
25,1
14,1
4,1
22,2
4,2
8,2
41,1
19,1
50,1
11,1
23,2
32,1
5,1
51,1
25,1
12,1
15,1
25,2
62,1
0,2
7,2
1,1
16,1
70,2
2,2
39,2
50,1
7,2
25,1
16,2
25,2
4,1
10,1
10,2
5,1
15,1
5,2
18,2
1,1
28,2
10,1
20,2
40,2
2,1
28,1
1,2
17,2
47,2
21,2
3,2
31,2
20,2
50,1
62,1
8,1
44,1
20,1
9,1
12,1
0,1
10,2
54,1
5,1
5,1
26,1
2,2
4,2
5,1
6,2
31,2
4,2
60,2
40,2
34,1
19,1
10,1
22,1
40,2
3,2
14,1
25,1
20,1
47,2
27,2
24,2
5,1
54,2
42,1
35,2
14,2
3,1
8,1
1,1
0,2
53,2
9,2
75,2
73,1
1,2
65,2
30,2
3,2
14,2
0,2
15,2
60,2
25,1
16,2
15,2
7,1
30,1
50,1
31,2
5,1
0,1
18,2
24,2
3,1
21,1
15,2
7,1
34,2
58,2
63,2
7,1
27,1
29,1
12,1
5,1
2,1
9,2
15,2
18,2
40,2
3,1
25,1
15,2
14,2
26,1
15,1
31,2
45,2
21,1
13,2
2,2
49,2
29,1
88,1
50,1
52,1
4,1
17,1
22,2
9,1
10,1
29,2
74,1
20,1
13,2
30,2
0,1
25,1
4,2
20,2
2,2
50,1
25,2
48,1
30,2
18,2
8,1
40,1
26,1
37,1
11,1
0,2
30,2
5,1
15,1
20,2
12,1
20,1
50,1
20,1
2,2
12,2
27,1
64,2
54,2
46,1
68,1
28,2
40,1
11,1
42,1
50,1
7,2
10,2
40,1
11,1
64,1
6,2
9,2
25,1
3,1
47,2
13,2
11,1
10,2
5,1
20,1
50,1
20,1
5,1
10,1
4,1
12,2
13,2
33,2
15,1
5,1
58,1
6,1
17,1
18,1
20,1
7,2
5,2
36,2
4,2
1,2
24,1
1,1
5,2
20,2
5,2
5,2
5,2
24,2
12,2
5,1
2,2
9,2
0,1
29,1
35,2
26,2
26,1
8,1
30,2
42,2
48,2
14,1
5,2
28,1
3,1
30,2
25,2
20,2
4,2
35,2
3,2
2,1
20,1
7,2
58,2
45,1
30,1
0,1
30,1
30,1
35,2
38,1
74,1
30,2
20,2
50,1
1,1
12,1
67,2
50,2
39,2
10,2
44,1
8,2
15,2
0,1
4,1
14,1
23,2
9,1
20,2
15,2
0,1
15,2
30,1
8,1
13,1
65,2
1,1
11,1
7,2
3,1
14,2
3,1
28,1
17,2
11,2
38,1
34,1
8,1
23,2
8,1
21,2
2,1
8,2
52,2
20,2
28,1
33,1
40,1
1,1
0,2
20,1
6,1
27,1
2,2
2,1
57,1
26,2
6,2
29,2
47,2
29,2
82,1
5,2
33,1
10,1
19,2
25,1
46,2
33,2
5,2
15,1
14,2
69,1
0,1
16,2
10,1
74,1
7,1
12,2
16,2
80,1
27,2
3,1
12,1
20,1
56,2
55,2
2,1
5,1
14,1
59,1
1,2
25,1
7,2
5,1
23,1
40,2
8,2
7,1
6,2
7,2
41,1
40,1
9,2
18,1
13,1
70,2
10,2
1,2
13,2
33,1
4,1
44,2
39,2
10,2
38,1
7,1
20,2
20,2
9,2
9,1
8,1
15,2
25,1
2,1
49,2
5,2
22,2
14,2
5,2
0,1
55,1
8,1
6,2
24,1
77,1
30,2
14,2
5,1
30,1
46,1
20,1
1,1
20,1
7,2
10,1
5,2
18,2
34,1
11,2
17,2
8,2
8,2
47,1
3,1
0,2
4,2
31,2
41,2
16,2
5,1
1,2
0,2
29,2
6,2
72,2
69,2
7,1
17,2
15,2
9,1
21,2
19,1
14,2
3,1
37,2
70,1
5,1
39,1
3,2
20,2
20,2
5,2
30,2
2,2
0,2
54,2
50,2
26,2
17,2
18,1
37,2
19,2
0,1
2,2
8,2
37,1
20,2
40,2
30,2
42,1
48,1
88,2
40,2
20,1
11,2
2,2
75,2
21,2
45,2
7,2
0,2
6,1
19,1
10,1
27,1
2,2
80,2
49,1
35,2
50,1
50,2
4,2
5,2
20,1
0,2
5,2
2,2
7,1
30,2
0,1
9,1
40,1
35,2
15,2
1,1
25,2
30,1
3,2
0,2
17,1
7,1
15,1
20,1
2,2
2,2
57,2
0,1
64,1
5,2
3,2
9,2
70,1
39,1
1,1
40,2
14,2
24,2
14,1
9,1
28,1
16,2
11,2
6,1
12,1
22,2
5,2
44,2
29,2
5,2
30,1
5,2
20,2
5,1
10,1
1,1
16,2
20,1
31,1
60,1
28,1
16,2
87,2
20,2
74,1
16,1
6,2
1,2
59,2
0,1
54,2
13,1
1,1
9,1
2,1
10,1
4,1
